Δt (hr),p̄ws (psia)
545.0,2605.93
546.0,2605.93
547.0,2605.93
548.0,2605.93
549.0,2605.93
550.0,2605.93
551.0,2605.93
552.0,2605.93
553.0,2605.93
554.0,2605.93
555.0,2605.93
556.0,2605.93
557.0,2605.93
558.0,2605.93
559.0,2605.93
560.0,2605.93
561.0,2605.93
562.0,2605.93
563.0,2605.93
564.0,2605.93
565.0,2605.93
566.0,2605.93
567.0,2605.93
568.0,2605.93
569.0,2605.93
570.0,2605.93
571.0,2605.93
572.0,2605.93
573.0,2605.93
574.0,2605.93
575.0,2605.93
576.0,2605.93
577.0,2605.93
578.0,2605.93
579.0,2605.93
580.0,2605.93
581.0,2605.93
582.0,2605.93
583.0,2605.93
584.0,2605.93
585.0,2605.93
586.0,2605.93
587.0,2605.93
588.0,2605.93
589.0,2605.93
590.0,2605.93
591.0,2605.93
592.0,2605.93
593.0,2605.93
594.0,2605.93
595.0,2605.93
596.0,2605.93
597.0,2605.93
598.0,2605.93
599.0,2605.93
600.0,2605.93
601.0,2605.93
602.0,2605.93
603.0,2605.93
604.0,2605.93
605.0,2605.93
606.0,2605.93
607.0,2605.93
608.0,2605.93
609.0,2605.93
610.0,2605.93
611.0,2605.93
612.0,2605.93
613.0,2605.93
614.0,2605.93
615.0,2605.93
616.0,2605.93
617.0,2605.93
618.0,2605.93
619.0,2605.93
620.0,2605.93
621.0,2605.93
622.0,2605.93
623.0,2605.93
624.0,2605.93
625.0,2605.93
626.0,2605.93
627.0,2605.93
628.0,2605.93
629.0,2605.93
630.0,2605.93
631.0,2605.93
632.0,2605.93
633.0,2605.93
634.0,2605.93
635.0,2605.93
636.0,2605.93
637.0,2605.93
638.0,2605.93
639.0,2605.93
640.0,2605.93
641.0,2605.93
642.0,2605.93
643.0,2605.93
644.0,2605.93
645.0,2605.93
646.0,2605.93
647.0,2605.93
648.0,2605.93
649.0,2605.93
650.0,2605.93
651.0,2605.93
652.0,2605.93
653.0,2605.93
654.0,2605.93
655.0,2605.93
656.0,2605.93
657.0,2605.93
658.0,2605.93
659.0,2605.93
660.0,2605.93
661.0,2605.93
662.0,2605.93
663.0,2605.93
664.0,2605.93
665.0,2605.93
666.0,2605.93
667.0,2605.93
668.0,2605.93
669.0,2605.93
670.0,2605.93
671.0,2605.93
672.0,2605.93
673.0,2605.93
674.0,2605.93
675.0,2605.93
676.0,2605.93
677.0,2605.93
678.0,2605.93
679.0,2605.93
680.0,2605.93
681.0,2605.93
682.0,2605.93
683.0,2605.93
684.0,2605.93
685.0,2605.93
686.0,2605.93
687.0,2605.93
688.0,2605.93
689.0,2605.93
690.0,2605.93
691.0,2605.93
692.0,2605.93
693.0,2605.93
694.0,2605.93
695.0,2605.93
